artist_id,artist_name,genres,popularity,followers
3MZsBdqDrRTJihTHQrO6Dq,Joji,,80,10604597
5XKFrudbV4IiuE5WuTPRmT,Stephen Sanchez,,71,1867801
62kwqoGbwQOLwfOWnDb2iB,Seo Young Eun,k-ballad,30,12215
7AVa6rcpTQWVqgy91llPP5,BROWN EYED SOUL,k-ballad,44,69249
2SY6OktZyMLdOnscX3DCyS,JANNABI,"k-ballad,k-rock",53,781095
5ghNwcHNesKq0Q3zfK39ic,So Soo Bin,,44,74026
0MBNzfGHTiPYag4DupDXUj,Sarah Kang,,53,192989
0ixzjrK1wkN2zWBXt3VW3W,Yuuri,j-pop,65,3155938
6dhfy4ByARPJdPtMyrUYJK,Yerin Baek,k-ballad,57,782708
5zVu34ozw0BzXIcNHqkO0u,Liana Flores,,64,679688
4mbvd7ZJ2goftjy1L33LiB,John Park,k-ballad,39,105458
2Y9AUayH5pyZpVfkDYDfJV,Stella Jang,,45,246831
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,,90,118453172
7v4imS0moSyGdXyLgVTIV7,Nat King Cole,"christmas,adult standards,vocal jazz",68,2535162
6jgrgDBt1SbtNbc25sLaTH,Busker Busker,k-ballad,41,113558
0hDjKSKjl1DC7ovYTDJHe8,Bruno Major,,61,1562547
3HqSLMAZ3g3d5poNaI7GOU,IU,"k-pop,k-ballad",66,9426021
0UEP2XBR9aC5NBKcAKnBIq,CHEN,"k-ballad,soundtrack",55,1589718
3ErHVJMsxTq2lLSmnONBm9,Roy Kim,"k-ballad,soundtrack",48,392838
7j46Sze6UWb7p41IqcYFAp,Catherine Russell,"vocal jazz,swing music,jazz",47,39022
2pRZp2WxvnWWiSPcSSYkNV,george,k-ballad,48,196607
7bPs6jf983f0bjRAt1yxDM,Patrick Watson,,70,916846
75OSuJw6r1LCdYgmTt0gHs,Micah Edwards,retro soul,45,51164
7sS12h1hMwOqXiB5vYdlu8,TOY,k-ballad,23,28834
7jFUYMpMUBDL4JQtMZ5ilc,Sung Si Kyung,k-ballad,51,396327
3VQDqjQ4wJyw8PzpGdlZpB,Colde,,57,695531
4BBN286rBKyCWsSPq2cxYO,Sam Kim,"k-ballad,k-pop",52,484881
7gW0r5CkdEUMm42w9XpyZO,Laufey,,82,8426402
4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,"j-pop,anime,j-rock",78,6259672
0ufoLkr55gheQNunOgkTae,Leina,j-pop,46,81784
0BJ2EjOqcfgFvlZXNKrNbE,Saja Boys,,80,2169562
1EowJ1WwkMzkCkRomFhui7,RADWIMPS,"anime,j-pop,j-rock",72,4766243
2XjqKvB2Xz9IdyjWPIHaXi,Sheena Ringo,"j-pop,j-rock,art pop",63,2089411
2NKadilSWCwuqGp5QoDeUS,ZARD,"j-pop,kayokyoku",56,568843
