played_at,track_id,track_name,artist_id,artist_name,album_id,album_name,album_release_date,duration_ms,popularity,explicit,track_uri
2025-11-05T01:49:22.517Z,78W4mTLIh4qoLu92W4IQhO,ライラック,4QvgGvpgzgyUOo8Yp8LDm9,Mrs. GREEN APPLE,40CHqDtwO8xlI3Ns7sZZel,ライラック,2024-04-11,288200,72,False,spotify:track:78W4mTLIh4qoLu92W4IQhO
2025-11-05T01:44:35.997Z,3zwMB1JyTzgOLo6rDnAVJ4,The SHINee World (Doo-Bop),2hRQKC0gqlZGPrmUKbcchR,SHINee,2aiM53N5DGm5VXnfjswpI7,The SHINee World - The First Album,2008-08-28,235373,35,False,spotify:track:3zwMB1JyTzgOLo6rDnAVJ4
2025-11-05T01:44:29.685Z,51oc6MEsXTpnPn6GOw5VuP,きらり,6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,2OXwORzPU4tm1Skiv6l9KT,Kirari Remixes (Asia Edition),2022-01-14,231882,73,False,spotify:track:51oc6MEsXTpnPn6GOw5VuP
2025-11-05T01:34:47.646Z,0o9zmvc5f3EFApU52PPIyW,Shinunoga E-Wa,6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,1OojCidx0eoPKch2M0Kz31,HELP EVER HURT NEVER,2020-05-20,185573,77,False,spotify:track:0o9zmvc5f3EFApU52PPIyW
2025-11-04T19:01:40.508Z,0YMHnD9nApifaojmhMydoj,I'll Be Home For Christmas,6zkX5fhrSD4tdVOmimR9wB,Oscar Peterson,4lkW34BvnZk0RBZLlvDddC,An Oscar Peterson Christmas,1995-09-01,169506,34,False,spotify:track:0YMHnD9nApifaojmhMydoj
2025-11-04T15:57:01.318Z,07ImyEKdguEZSPzd3AF1L4,Sleigh Ride,7AbWCUgC8aFlUYWSuiaQhK,The Eddie Higgins Trio,0t0LMIRhBLD6xWPc6MEKxX,Christmas Songs,2004-11-03,228226,12,False,spotify:track:07ImyEKdguEZSPzd3AF1L4
2025-11-04T15:53:00.390Z,4uw2qhrKn6mbboD13KP7C4,Let It Snow,7AbWCUgC8aFlUYWSuiaQhK,The Eddie Higgins Trio,0t0LMIRhBLD6xWPc6MEKxX,Christmas Songs,2004-11-03,221000,21,False,spotify:track:4uw2qhrKn6mbboD13KP7C4
2025-11-04T15:49:18.626Z,5YvajlpEQXNJmMUi8iV9Lr,White Christmas,7AbWCUgC8aFlUYWSuiaQhK,The Eddie Higgins Trio,0t0LMIRhBLD6xWPc6MEKxX,Christmas Songs,2004-11-03,283000,21,False,spotify:track:5YvajlpEQXNJmMUi8iV9Lr
2025-11-04T15:44:35.751Z,2YhRZ687SWWVigrs4TNqAn,Have Yourself A Merry Little Christmas,7AbWCUgC8aFlUYWSuiaQhK,The Eddie Higgins Trio,0t0LMIRhBLD6xWPc6MEKxX,Christmas Songs,2004-11-03,259000,18,False,spotify:track:2YhRZ687SWWVigrs4TNqAn
2025-11-04T15:40:18.266Z,2IHJbBiT7v4oR4WXt63yVZ,Go Tell It On The Mountain,7qYYtUCPSVXspwRs4wiQ9R,Eltingvilles,7IbDqi94MtPmiq4eLlZf6i,Go Tell It On The Mountain,2020-09-29,150550,39,False,spotify:track:2IHJbBiT7v4oR4WXt63yVZ
2025-11-04T15:37:44.390Z,7lniXNKQilhilPfXDGmVOW,Great Pumpkin Waltz,4ytkhMSAnrDP8XzRNlw9FS,Vince Guaraldi Trio,2XnNY3GEkbWHor5kyvXLu4,A Charlie Brown Christmas [2012 Remastered & Expanded Edition],2012-01-01,149226,44,False,spotify:track:7lniXNKQilhilPfXDGmVOW
2025-11-04T15:35:15.135Z,1KYp6R9KfYSna86gFkIhq0,What Child Is This,4ytkhMSAnrDP8XzRNlw9FS,Vince Guaraldi Trio,2XnNY3GEkbWHor5kyvXLu4,A Charlie Brown Christmas [2012 Remastered & Expanded Edition],2012-01-01,144933,50,False,spotify:track:1KYp6R9KfYSna86gFkIhq0
